participant,flight_date,parabolas,overall_experience,fluid_behaviour,fluid_as_expected,containment,activation,insertion,extraction,tampon_comparison,task_difficulty,difficulties,felt_safe,notes
P1,2026-05-18,1,easy,mostly stable,yes,minor leakage,easy,easy,very easy,similar,moderate,difficulty stabilizing hands;time pressure;resistance inserting the fluid,yes,"Activation was easier than expected; on the first attempt the pull also drew the whole cup out of the model, later attempts closed it in place. Fluid residue collected on the activation strings and the outside of the cup. Gloves were too large for secure handling. Suggested a larger fluid volume to separate tampon and cup."
P2,2026-05-18,2,difficult,NA,NA,NA,easy,moderate,easy,NA,moderate,difficulty handling fluid,yes,"Ran the SpaceCup procedure during two parabolas only. Much of the fluid leaked from the artificial vagina before the parabola began, so containment and fluid behaviour were not observed. The form gives 18.05.2026 as the date but describes this as the second flight."
P3,2026-05-28,6,very easy,mostly stable,yes,minor leakage,very easy,easy,very easy,similar,very easy,NA,yes,"Setup was straightforward. Fluid floated slightly on its way down the model. Condensation in the glovebox on the second flight made the fluid hard to see. Resetting the cup requires forcing the tail back."
